date,variant,prop_median,prop_ci_low,prop_ci_high
2021-11-13,B.1.617.2 (Delta),0.9998005137495346,0.999661583696524,0.9998933156603027
2021-11-14,B.1.1.529 (Omikron),5.008466062352521e-5,8.566105663938525e-6,1.6464852776330684e-4
2021-11-14,B.1.1.7 (Alpha),1.5053657636675212e-4,7.479538522478215e-5,2.7469286492735597e-4
2021-11-14,B.1.617.2 (Delta),0.9997893677105573,0.9996363112178103,0.999887242143747
2021-11-15,B.1.1.529 (Omikron),6.20483381048301e-5,1.1147926996545213e-5,1.9794234699272584e-4
2021-11-15,B.1.1.7 (Alpha),1.5216385323938857e-4,7.517243270960773e-5,2.7576269105389e-4
2021-11-15,B.1.617.2 (Delta),0.9997763536046635,0.9996108094302151,0.9998806298508792
2021-11-16,B.1.1.529 (Omikron),7.681586673690392e-5,1.460682280279357e-5,2.3691783398271233e-4
2021-11-16,B.1.1.7 (Alpha),1.536604428038496e-4,7.602874913701993e-5,2.7699844338381196e-4
2021-11-16,B.1.617.2 (Delta),0.9997619395767879,0.9995709175887966,0.9998731930810378
2021-11-17,B.1.1.529 (Omikron),9.533726425632307e-5,1.8436163291643463e-5,2.8679071458109957e-4
2021-11-17,B.1.1.7 (Alpha),1.546934004917069e-4,7.737291269696628e-5,2.7973005578390165e-4
2021-11-17,B.1.617.2 (Delta),0.9997442220364909,0.9995353155572189,0.9998652447667773
2021-11-18,B.1.1.529 (Omikron),1.1802452198379444e-4,2.3772805520647182e-5,3.462773800281147e-4
2021-11-18,B.1.1.7 (Alpha),1.5611949376271168e-4,7.863930078821346e-5,2.839513204723877e-4
2021-11-18,B.1.617.2 (Delta),0.9997192216599606,0.999475759295144,0.9998556800851671
2021-11-19,B.1.1.529 (Omikron),1.465424287374908e-4,3.044579765635214e-5,4.1695190083212345e-4
2021-11-19,B.1.1.7 (Alpha),1.5735930262564436e-4,7.916161821761638e-5,2.874933713020852e-4
2021-11-19,B.1.617.2 (Delta),0.9996890836232752,0.9994003846740493,0.9998438618495622
2021-11-20,B.1.1.529 (Omikron),1.8192468725014484e-4,3.847974004199607e-5,5.038786592351259e-4
2021-11-20,B.1.1.7 (Alpha),1.5861813824935008e-4,7.94667184093333e-5,2.9103396733829725e-4
2021-11-20,B.1.617.2 (Delta),0.9996524263058948,0.999319659842798,0.9998324226192384
2021-11-21,B.1.1.529 (Omikron),2.248743762711886e-4,4.929749381293226e-5,6.089980822973412e-4
2021-11-21,B.1.1.7 (Alpha),1.599123154812319e-4,7.974424532314697e-5,2.946186956339636e-4
2021-11-21,B.1.617.2 (Delta),0.9996058328485127,0.9992201150818465,0.9998134456064203
2021-11-22,B.1.1.529 (Omikron),2.782467470195687e-4,6.426854366402663e-5,7.359147914237928e-4
2021-11-22,B.1.1.7 (Alpha),1.6112230185863887e-4,7.950046316431458e-5,2.966833264297112e-4
2021-11-22,B.1.617.2 (Delta),0.9995490529979723,0.9991016441884844,0.9997950994405431
2021-11-23,B.1.1.529 (Omikron),3.433012954360073e-4,8.404926020846602e-5,8.91110288897617e-4
2021-11-23,B.1.1.7 (Alpha),1.6209375068843755e-4,7.983730564829354e-5,3.0071974182850885e-4
2021-11-23,B.1.617.2 (Delta),0.9994828244739942,0.9989470581088109,0.9997718420305951
2021-11-24,B.1.1.529 (Omikron),0.00042386746455115864,1.099544704569652e-4,0.0010788139707901283
2021-11-24,B.1.1.7 (Alpha),1.6297085916897887e-4,8.045888880560753e-5,3.045501572444974e-4
2021-11-24,B.1.617.2 (Delta),0.9993999278892653,0.9987606584063938,0.9997414685977081
2021-11-25,B.1.1.529 (Omikron),5.262095408466844e-4,1.4027321614367897e-4,0.001304045170935913
2021-11-25,B.1.1.7 (Alpha),1.6435365831595685e-4,8.04859426638437e-5,3.069186465084027e-4
2021-11-25,B.1.617.2 (Delta),0.9992949553145831,0.9985305191167847,0.9997058544669399
2021-11-26,B.1.1.529 (Omikron),6.449712468908597e-4,1.810301188944915e-4,0.0015703325973133537
2021-11-26,B.1.1.7 (Alpha),1.6604475746916615e-4,8.051257017207099e-5,3.105962604735106e-4
2021-11-26,B.1.617.2 (Delta),0.999165884623778,0.9982540519290475,0.9996617410403262
2021-11-27,B.1.1.529 (Omikron),8.039577307917326e-4,2.3174439168305647e-4,0.0018891223484198516
2021-11-27,B.1.1.7 (Alpha),1.6703830066905326e-4,8.042510602450938e-5,3.1513773817861063e-4
2021-11-27,B.1.617.2 (Delta),0.9990119853122252,0.9979190063021857,0.9996091301686846
2021-11-28,B.1.1.529 (Omikron),9.976937620462052e-4,2.960605317206336e-4,0.0022864771538819214
2021-11-28,B.1.1.7 (Alpha),1.6852782957855626e-4,8.040709967659908e-5,3.201740315600791e-4
2021-11-28,B.1.617.2 (Delta),0.9988196857661372,0.9975240828293036,0.9995458036958155
2021-11-29,B.1.1.529 (Omikron),0.0012398109429260214,3.8007219906155453e-4,0.0027516074292868505
2021-11-29,B.1.1.7 (Alpha),1.699990264448327e-4,8.167256847965063e-5,3.226605849946379e-4
2021-11-29,B.1.617.2 (Delta),0.998582956957258,0.9970511111935346,0.9994621036812159
2021-11-30,B.1.1.529 (Omikron),0.001532022041776688,4.950005042017864e-4,0.0033218853724769305
2021-11-30,B.1.1.7 (Alpha),1.7094272848236676e-4,8.289306824615842e-5,3.2598142641500317e-4
2021-11-30,B.1.617.2 (Delta),0.9982837334369695,0.9964564831525173,0.999351589206768
2021-12-01,B.1.1.529 (Omikron),0.0018909162160821676,6.31144996793951e-4,0.00402770895051624
2021-12-01,B.1.1.7 (Alpha),1.721572804003625e-4,8.319218700058853e-5,3.296931706955331e-4
2021-12-01,B.1.617.2 (Delta),0.9979166490773597,0.9957404522160627,0.9992154186268299
2021-12-02,B.1.1.529 (Omikron),0.0023320397366693967,8.007976253670195e-4,0.004865515333327325
2021-12-02,B.1.1.7 (Alpha),1.7351336976509566e-4,8.298539095270647e-5,3.3472112750360827e-4
2021-12-02,B.1.617.2 (Delta),0.9974775726903087,0.9949191774138177,0.999042239802587
2021-12-03,B.1.1.529 (Omikron),0.002892166061526254,0.0010061641822602333,0.00587458486102354
2021-12-03,B.1.1.7 (Alpha),1.7472371505053108e-4,8.31544970983298e-5,3.383213316667561e-4
2021-12-03,B.1.617.2 (Delta),0.9969202834812323,0.9939047857778819,0.9988238818996715
2021-12-04,B.1.1.529 (Omikron),0.003572052468875947,0.0012607215567378275,0.007123035044360585
2021-12-04,B.1.1.7 (Alpha),0.00017529770509524222,8.312316771060063e-5,3.4106562269853807e-4
2021-12-04,B.1.617.2 (Delta),0.9962595037620208,0.9926318381131317,0.9985549383472851
2021-12-05,B.1.1.529 (Omikron),0.004391769144858587,0.0016048986043073403,0.008708520918908039
2021-12-05,B.1.1.7 (Alpha),1.7699862823780698e-4,8.19017992831899e-5,3.4401403582892914e-4
2021-12-05,B.1.617.2 (Delta),0.9953990962527217,0.9911175003638719,0.9982158462377413
2021-12-06,B.1.1.529 (Omikron),0.005433287898566638,0.002028929525491728,0.010501045716242578
2021-12-06,B.1.1.7 (Alpha),1.7845939928980565e-4,8.180910888413355e-5,3.4860568462277263e-4
2021-12-06,B.1.617.2 (Delta),0.99438496954087785,0.989251651713515,0.9977568575463659
2021-12-07,B.1.1.529 (Omikron),0.006702361043390318,0.002563415704414642,0.012901760032792973
